sepal.length,variety
5.1,Setosa
4.9,Setosa
4.7,Setosa
4.6,Setosa
5,Setosa
5.4,Setosa
4.6,Setosa
5,Setosa
4.4,Setosa
4.9,Setosa
5.4,Setosa
4.8,Setosa
4.8,Setosa
4.3,Setosa
5.8,Setosa
5.7,Setosa
5.4,Setosa
5.1,Setosa
5.7,Setosa
5.1,Setosa
5.4,Setosa
5.1,Setosa
4.6,Setosa
5.1,Setosa
4.8,Setosa
5,Setosa
5,Setosa
5.2,Setosa
5.2,Setosa
4.7,Setosa
4.8,Setosa
5.4,Setosa
5.2,Setosa
5.5,Setosa
4.9,Setosa
5,Setosa
5.5,Setosa
4.9,Setosa
4.4,Setosa
5.1,Setosa
5,Setosa
4.5,Setosa
4.4,Setosa
5,Setosa
5.1,Setosa
4.8,Setosa
5.1,Setosa
4.6,Setosa
5.3,Setosa
5,Setosa
7,Versicolor
6.4,Versicolor
6.9,Versicolor
5.5,Versicolor
6.5,Versicolor
5.7,Versicolor
6.3,Versicolor
4.9,Versicolor
6.6,Versicolor
5.2,Versicolor
5,Versicolor
5.9,Versicolor
6,Versicolor
6.1,Versicolor
5.6,Versicolor
6.7,Versicolor
5.6,Versicolor
5.8,Versicolor
6.2,Versicolor
5.6,Versicolor
5.9,Versicolor
6.1,Versicolor
6.3,Versicolor
6.1,Versicolor
6.4,Versicolor
6.6,Versicolor
6.8,Versicolor
6.7,Versicolor
6,Versicolor
5.7,Versicolor
5.5,Versicolor
5.5,Versicolor
5.8,Versicolor
6,Versicolor
5.4,Versicolor
6,Versicolor
6.7,Versicolor
6.3,Versicolor
5.6,Versicolor
5.5,Versicolor
5.5,Versicolor
6.1,Versicolor
5.8,Versicolor
5,Versicolor
5.6,Versicolor
5.7,Versicolor
5.7,Versicolor
6.2,Versicolor
5.1,Versicolor
5.7,Versicolor
6.3,Virginica
5.8,Virginica
7.1,Virginica
6.3,Virginica
6.5,Virginica
7.6,Virginica
4.9,Virginica
7.3,Virginica
6.7,Virginica
7.2,Virginica
6.5,Virginica
6.4,Virginica
6.8,Virginica
5.7,Virginica
5.8,Virginica
6.4,Virginica
6.5,Virginica
7.7,Virginica
7.7,Virginica
6,Virginica
6.9,Virginica
5.6,Virginica
7.7,Virginica
6.3,Virginica
6.7,Virginica
7.2,Virginica
6.2,Virginica
6.1,Virginica
6.4,Virginica
7.2,Virginica
7.4,Virginica
7.9,Virginica
6.4,Virginica
6.3,Virginica
6.1,Virginica
7.7,Virginica
6.3,Virginica
6.4,Virginica
6,Virginica
6.9,Virginica
6.7,Virginica
6.9,Virginica
5.8,Virginica
6.8,Virginica
6.7,Virginica
6.7,Virginica
6.3,Virginica
6.5,Virginica
6.2,Virginica
5.9,Virginica
